Blog	here	want	how	re	best	life	had	has	right	people	for	time	so	years	one	going	many	s	around	her	with	an	as	at	to	more	its	also	see	last	be	by	into	up	us	video	great	this	could	ve	off	work	after	them	they	do	we	the	post	way	was	can	not	now	year	that	than	online	only	these	read	t	your	you	a	some	need	but	she	i	well	he	even	new	don	m	said	is	it	in	if	make	just	down	may	first	get	those	two	most	back	from	ll	day	have	like	about	would	me	my	over	been	no	when	today	and	week	on	of	or	there	all	what	his	are	our	out	their	which	who	why	will	know	because
Copyblogger	0	1	4	1	2	2	2	3	0	0	7	5	0	0	3	1	0	5	0	0	2	2	1	1	16	2	0	2	0	1	4	0	1	2	0	0	1	1	1	0	0	0	3	3	4	3	2	26	10	1	0	2	0	0	0	1	1	0	0	0	0	0	12	10	8	2	0	1	0	7	1	0	0	0	0	1	0	2	3	3	1	2	0	0	0	11	3	1	0	0	0	0	0	0	1	0	3	1	0	0	0	1	1	2	0	7	1	11	8	0	0	0	2	0	3	2	0	1	0	1	2	0	0	0
Engadget RSS Feed	0	3	0	0	0	0	0	14	1	1	19	3	1	0	3	3	1	20	1	0	6	2	5	5	40	5	5	0	1	2	4	2	1	3	2	2	0	4	2	3	1	2	2	2	2	1	4	69	1	0	1	8	3	2	1	13	4	2	0	1	0	2	5	21	33	3	0	2	0	1	2	1	2	4	1	0	1	9	10	11	4	0	4	0	4	3	4	0	1	4	0	6	3	2	6	2	3	1	0	1	1	4	1	3	1	24	2	20	29	4	0	1	2	1	3	4	6	5	1	1	0	13	0	0
ProBlogger	0	5	28	11	0	6	1	1	0	6	6	8	2	4	6	2	2	22	2	0	10	3	8	1	82	27	0	2	0	0	8	6	9	0	0	0	2	18	1	2	0	3	3	2	8	11	7	73	62	3	2	6	1	3	0	9	2	3	2	0	0	12	60	50	39	1	4	6	4	15	0	6	3	2	11	3	0	21	17	20	6	6	0	1	0	41	9	1	1	5	2	11	1	3	1	3	5	1	1	7	1	1	3	3	1	28	0	66	40	10	3	1	9	5	5	0	3	3	1	1	3	1	4	1
mezzoblue	1	0	2	1	0	0	0	1	1	0	2	0	1	3	2	0	0	6	0	0	5	1	4	0	9	0	1	1	0	0	1	0	1	0	0	1	0	4	0	6	0	0	0	2	0	0	0	18	0	2	1	1	2	1	0	6	0	0	0	1	0	4	0	6	19	1	0	4	0	12	1	0	0	3	0	1	0	3	6	2	2	2	1	0	0	1	0	0	0	1	1	2	0	0	1	0	1	0	2	3	4	3	1	2	2	4	0	6	10	1	0	1	1	0	0	1	2	0	1	0	0	1	0	0
ShoeMoney	18	1	15	5	2	0	0	1	6	3	11	3	0	0	2	3	1	19	0	0	3	3	4	6	31	1	0	1	1	1	6	0	2	7	1	0	1	5	1	2	1	3	0	1	2	5	7	29	0	2	2	6	4	1	1	8	2	4	0	0	0	5	21	28	25	4	4	3	0	3	0	0	3	4	2	0	0	12	14	16	3	4	3	1	0	0	3	2	0	1	2	2	2	2	6	1	2	0	0	0	0	1	2	2	2	19	0	7	19	3	8	4	8	0	15	0	4	2	0	2	6	4	4	0
NB Blog Feed	1	0	2	0	1	4	6	8	4	4	36	4	7	4	9	2	3	75	1	5	22	16	25	12	97	7	4	4	1	3	16	16	1	4	1	4	0	11	5	0	2	1	5	4	10	1	6	187	3	2	21	2	17	9	4	46	8	1	4	2	1	12	4	8	98	3	2	13	3	4	2	13	9	11	2	2	2	34	31	38	9	4	8	5	0	4	1	4	3	6	0	15	2	9	10	6	18	5	0	0	3	5	5	11	3	53	2	54	86	4	3	2	6	17	12	1	4	4	8	10	4	7	0	7
Matt Cutts: Gadgets, Google, and SEO	1	0	0	1	1	0	0	3	0	4	6	2	2	2	2	0	1	6	0	2	7	1	3	2	15	2	0	2	1	4	0	0	0	2	7	0	2	4	0	3	0	3	1	2	2	4	2	25	0	2	3	2	1	0	4	13	0	0	0	1	1	4	2	12	22	3	1	4	0	22	0	4	0	0	0	0	0	1	4	4	1	2	3	1	0	0	3	0	0	0	0	4	0	0	1	3	9	1	1	5	1	1	0	1	1	11	2	4	16	3	0	0	1	0	2	0	1	2	0	1	0	0	1	1
Gothamist	5	1	1	2	1	1	2	6	0	3	13	1	3	6	1	0	0	24	1	4	10	3	0	5	25	43	0	0	1	4	6	6	3	2	0	5	2	8	0	2	1	2	5	2	8	1	2	53	0	2	6	2	1	1	5	9	1	0	0	3	0	5	3	12	34	0	0	3	0	2	0	1	0	7	3	0	2	10	3	27	4	0	3	0	2	1	4	2	3	0	0	4	0	4	4	1	5	1	1	0	3	1	0	2	7	22	2	17	28	1	3	3	4	4	12	6	8	2	1	7	0	4	6	5
Techdirt.	11	8	35	26	5	6	35	76	12	49	155	22	37	26	45	19	28	239	11	9	110	66	100	83	570	68	48	22	11	8	106	93	27	46	20	3	3	162	19	15	19	19	21	25	67	29	57	915	4	17	85	34	101	26	11	385	28	5	38	39	2	100	19	58	375	39	10	104	7	60	17	63	33	37	15	13	32	217	230	246	58	22	36	26	18	32	22	20	17	13	12	75	10	4	86	27	51	54	10	3	32	36	39	41	6	403	9	116	439	74	40	59	43	51	85	21	38	56	42	37	17	42	32	41
ongoing by Tim Bray	7	2	1	1	2	5	0	6	1	1	12	5	6	2	4	2	0	23	0	5	6	8	1	5	21	2	2	4	1	3	1	6	2	3	0	0	2	11	0	5	0	3	0	2	4	3	6	61	1	5	13	0	8	1	0	19	2	0	0	2	1	6	1	9	38	3	0	19	4	36	3	0	3	4	1	5	0	11	18	27	5	1	2	1	1	0	3	2	1	1	3	6	2	2	8	2	4	1	3	8	1	7	0	3	0	46	0	10	36	4	8	0	10	0	13	7	7	1	3	1	0	1	4	1
Neil Gaiman's Journal	41	17	21	15	8	10	60	20	10	49	165	42	64	32	43	24	16	189	7	17	91	37	62	76	440	40	6	14	25	25	112	79	21	44	30	7	8	87	29	31	11	26	16	56	63	41	79	732	8	14	147	49	57	28	48	198	17	3	27	12	36	67	24	197	347	41	16	63	24	482	8	73	32	45	17	57	15	156	264	233	64	35	27	8	10	21	35	7	27	14	23	58	17	14	73	44	58	39	87	88	24	36	14	40	5	724	7	134	330	78	64	55	36	44	70	12	53	20	33	54	7	65	10	39
Joel on Software	1	2	1	2	0	0	1	1	0	0	11	2	0	2	0	0	0	4	1	0	1	0	0	0	11	11	0	0	0	1	0	0	0	3	0	1	0	1	0	0	0	1	1	0	0	1	2	18	0	1	4	0	2	1	1	3	1	0	0	0	10	0	3	6	13	1	0	1	0	6	0	0	0	6	0	1	0	2	2	3	1	0	0	0	0	1	1	0	0	1	0	0	0	2	1	0	0	0	0	1	0	0	0	1	0	5	1	4	13	1	1	1	1	0	3	0	2	0	0	0	0	0	0	0
Wired	1	0	3	3	5	1	0	3	2	0	10	0	4	3	6	0	1	17	0	0	2	1	2	0	25	6	3	3	0	1	4	2	3	3	0	0	0	5	2	1	1	0	0	0	6	0	5	41	0	1	2	1	0	0	0	4	0	2	0	0	0	2	7	6	25	0	2	4	0	0	0	2	1	4	0	0	0	7	12	10	0	1	1	0	2	0	1	1	4	3	1	8	0	1	1	2	3	1	0	0	2	1	1	1	2	25	3	6	14	2	1	5	0	0	3	2	1	1	3	0	2	3	3	0
Kotaku	1	2	0	1	5	3	2	5	1	1	6	2	4	2	1	1	1	19	2	0	9	3	4	4	25	27	1	2	2	1	3	1	3	7	1	6	2	6	2	2	2	2	3	5	1	2	5	45	0	0	4	3	1	1	1	13	0	0	1	4	20	6	4	14	36	3	3	3	0	14	2	3	0	2	3	1	0	13	13	14	4	1	4	2	1	4	1	1	2	2	5	6	1	2	0	3	4	0	3	3	5	0	0	2	2	37	2	9	13	0	6	3	1	2	6	5	3	2	2	0	0	1	1	3
Derek Powazek	6	1	7	7	1	5	3	5	4	2	33	4	7	5	13	4	1	43	1	9	17	5	10	7	52	6	1	2	3	7	7	5	4	11	4	0	5	9	1	11	1	3	4	2	6	7	7	97	3	0	13	8	6	10	4	19	2	2	1	2	0	10	6	19	62	3	1	14	7	69	2	5	1	5	4	12	3	17	39	35	9	1	11	2	0	3	6	1	9	2	2	5	4	2	3	9	9	0	15	22	5	8	2	11	2	70	3	14	39	5	7	10	9	3	11	3	9	4	2	1	1	5	6	3
Captain's Quarters	0	0	1	0	1	0	3	7	0	0	8	1	0	2	2	0	0	4	0	1	4	1	4	5	22	3	3	2	0	0	4	4	2	1	3	0	0	1	0	0	1	1	3	0	2	0	1	50	1	0	1	1	3	0	0	9	2	0	1	0	0	1	0	2	20	1	0	1	1	3	1	6	1	0	0	0	0	0	2	14	1	0	0	2	0	2	0	0	0	0	2	3	0	2	2	0	3	1	2	2	1	2	1	2	2	12	1	14	20	0	0	0	0	6	0	0	4	6	0	1	0	5	0	0
ThinkProgress	1	0	1	0	0	0	2	3	3	0	9	0	2	1	2	1	1	13	0	2	6	2	4	2	11	1	2	1	0	0	3	1	0	1	0	3	1	4	3	0	0	0	0	0	3	0	2	27	0	0	0	0	1	0	2	3	1	0	0	0	0	0	1	1	21	4	1	3	2	0	0	2	1	4	0	0	0	4	3	12	1	2	0	2	1	1	0	0	1	0	0	3	0	2	1	1	0	1	0	0	4	2	0	4	0	7	3	7	16	0	0	2	2	3	6	0	0	1	1	4	0	4	0	0
blog maverick	0	0	0	0	0	0	1	0	2	1	4	1	0	0	2	0	0	2	0	0	1	1	0	1	14	1	0	0	0	0	2	4	2	1	3	0	1	4	0	0	0	0	0	0	0	3	4	32	0	0	3	0	5	0	0	11	3	0	0	0	0	4	0	3	24	3	0	2	0	11	0	1	2	1	2	1	1	18	8	10	2	0	0	0	2	0	1	0	0	1	1	1	0	1	6	2	1	1	2	4	0	2	3	2	0	10	0	10	9	4	4	2	4	0	5	2	1	1	1	1	1	1	1	0
pharyngula	4	1	0	1	0	0	2	1	2	0	6	1	2	0	3	2	1	13	2	0	4	3	6	2	25	3	1	3	3	0	2	2	1	1	0	0	0	7	0	1	0	0	1	1	6	1	3	49	0	0	5	2	2	2	1	8	1	0	2	2	0	4	1	7	27	1	0	2	0	10	0	0	0	0	2	2	0	10	17	13	1	0	0	4	2	1	2	0	1	0	1	2	1	0	11	1	1	0	6	4	0	1	3	4	0	27	0	3	32	1	1	3	1	0	4	0	0	3	4	0	1	2	2	1
Autoblog	1	0	0	2	4	0	0	6	4	1	56	0	2	0	3	0	0	9	0	3	12	2	3	10	36	6	14	0	39	1	5	7	1	8	0	1	3	42	1	0	6	3	1	1	2	0	5	48	2	3	1	6	3	6	3	6	3	3	1	0	1	1	2	4	39	1	0	0	0	0	1	0	0	18	0	9	5	17	2	39	4	0	3	0	1	8	1	1	0	1	2	9	0	6	1	3	5	2	0	0	6	1	3	3	5	26	0	93	58	5	4	0	1	0	3	39	4	1	2	2	3	5	1	0
Google Blogoscoped	2	2	5	5	4	0	3	1	1	3	16	4	7	1	13	2	0	15	2	0	6	5	12	7	36	4	1	2	4	0	4	4	3	3	1	0	0	7	1	4	0	1	0	4	7	3	12	71	2	1	6	10	5	4	0	13	1	1	2	1	2	11	8	36	43	3	2	10	0	18	2	2	4	8	4	2	2	10	14	23	8	3	6	1	1	2	5	3	3	3	3	7	6	3	5	6	9	11	4	7	1	4	6	4	1	40	0	17	34	7	5	5	6	1	6	3	2	4	5	5	0	1	2	5
Deadspin	1	0	1	2	6	0	2	5	0	3	14	3	4	0	5	0	2	25	3	4	11	4	6	2	30	28	1	1	2	2	2	1	1	5	2	4	1	10	2	2	3	2	4	1	1	2	2	78	1	1	5	1	2	1	6	10	1	1	2	0	23	6	5	12	23	5	2	2	3	2	2	2	1	8	1	0	0	12	8	17	2	0	2	1	2	4	0	2	2	3	4	10	1	5	2	2	2	3	0	2	2	2	2	5	2	22	2	15	31	2	1	2	3	12	3	1	3	1	1	3	1	0	0	2
TMZ.com	0	1	1	1	0	0	6	1	0	3	12	0	3	1	1	2	0	28	1	3	2	3	3	10	19	0	0	2	0	1	3	2	1	1	2	0	0	2	0	2	2	1	2	0	3	2	6	49	0	1	8	1	1	0	0	3	0	0	1	1	0	4	2	3	20	2	1	4	3	1	1	18	0	3	2	0	2	12	7	22	0	2	5	2	0	0	0	0	1	0	1	4	0	0	3	1	3	0	0	0	6	5	1	4	2	28	0	14	11	0	3	4	3	13	4	0	3	3	1	6	0	1	0	3
O'Reilly Radar	0	0	0	3	0	0	1	4	1	1	3	0	0	0	0	0	2	7	1	0	2	3	1	2	13	0	0	0	0	0	0	1	1	1	0	0	0	3	2	0	0	0	2	0	1	1	2	22	0	1	0	1	0	2	0	10	0	0	1	1	0	0	0	3	8	0	0	1	1	0	0	0	0	3	0	0	0	10	7	4	1	0	0	0	7	0	0	0	0	2	0	6	0	0	0	1	0	0	2	1	0	0	3	0	0	6	0	2	10	1	1	6	1	0	2	0	0	2	0	1	0	1	0	1
Lifehacker	0	1	6	6	7	0	1	4	0	0	20	3	3	2	3	1	2	16	2	0	7	8	5	2	38	27	2	1	1	2	2	1	2	6	2	4	1	12	1	2	2	1	1	2	4	1	2	46	0	0	5	3	2	1	2	16	1	0	1	2	24	4	10	25	47	4	4	5	0	14	2	2	2	4	2	3	0	14	7	16	3	5	3	3	2	3	2	3	0	1	3	10	3	3	3	5	3	2	2	4	2	4	2	4	1	35	1	9	21	4	4	3	5	2	6	1	5	2	3	2	0	5	0	3
Lifehack - Feed	0	0	8	2	0	10	0	1	1	2	1	1	2	2	1	0	2	9	2	0	5	4	5	0	22	11	0	2	1	0	4	2	1	0	1	0	0	1	1	0	0	2	1	2	1	3	5	13	0	3	1	4	3	2	0	8	1	0	0	1	10	3	10	8	26	0	1	3	0	2	1	2	0	1	1	0	0	7	16	16	2	1	3	0	1	0	2	2	0	2	0	1	0	1	1	2	2	0	0	0	1	1	1	2	1	25	1	9	16	1	2	2	2	1	7	2	0	2	3	1	2	0	2	2
Boing Boing	3	2	6	6	4	8	12	9	3	3	43	11	7	7	12	3	2	66	4	10	28	21	31	29	94	4	5	4	9	5	12	17	6	7	3	6	3	39	8	2	1	4	7	6	26	6	14	263	3	3	41	14	11	8	3	44	4	2	5	10	32	19	9	23	124	10	1	14	8	34	4	17	7	13	4	1	13	41	37	87	7	5	9	2	2	7	3	5	8	3	3	31	4	3	11	8	16	8	7	7	6	3	7	5	4	105	2	42	101	11	4	6	11	25	10	4	7	6	12	14	1	8	0	5
